Persona,YearMonth,total_expense,total_income,spending_ratio,savings_rate,net_balance,active_days,daily_avg_expense,dominant_category,belanja_amount,hiburan_amount,lain-lain_amount,makan_minum_amount,tagihan_amount,belanja_ratio,hiburan_ratio,lain-lain_ratio,makan_minum_ratio,tagihan_ratio,weekday_expense,weekend_expense,weekend_ratio,expense_volatility,mom_expense_change
Persona 1 - Si Hemat (Data Asli),2025-08,1711084.0,2805109.0,0.6099884175623835,39.00115824376165,1094025.0,31,55196.25806451613,Belanja,409924.65,361025.94,289256.6,279800.78,371076.03,0.2395701496828911,0.2109925287127926,0.16904874336970013,0.16352252724004201,0.2168660509945742,1246740.55,464343.45,0.27137384839084466,26977.176959570774,-4.066677954584441
Persona 1 - Si Hemat (Data Asli),2025-09,1883022.0,2512525.0,0.7494540352832311,25.0545964716769,629503.0,29,64931.793103448275,Lain-lain,322935.77999999997,362745.41,493905.35000000003,329351.1,374084.36,0.17149867606432637,0.1926400275726996,0.26229398806811605,0.1749056038644264,0.1986617044304315,1318864.04,564157.96,0.2996024263125975,29737.503736307597,10.048483885069338
Persona 1 - Si Hemat (Data Asli),2025-10,1285211.0,2014120.0,0.6381005103966,36.189948960340004,728909.0,31,41458.41935483871,Makan & Minum,175844.4,212608.48,301267.17,324309.31,271181.64,0.13682142465322814,0.16542690655464357,0.23441066875400224,0.25233935128161833,0.2110016487565077,814106.15,471104.85,0.36655837057105795,21682.692532820573,-31.747425149573395
Persona 1 - Si Hemat (Data Asli),2025-11,1190022.0,2428896.0,0.4899435793051658,51.005642069483415,1238874.0,30,39667.4,Makan & Minum,179280.89,188769.63,219495.6,318725.95,283749.93,0.15065342489466582,0.15862700857631204,0.18444667409510077,0.26783198125748936,0.238440911176432,780040.68,409981.32,0.34451574844834804,17426.745855406996,-7.40648811751533
Persona 1 - Si Hemat (Data Asli),2025-12,1535932.0,2150783.0,0.7141269016911516,28.587309830884845,614851.0,31,49546.1935483871,Lain-lain,183771.62,345640.27,376063.57,339431.94,291024.6,0.11964827869983827,0.22503617998713485,0.24484389282858876,0.2209941195313334,0.18947752895310468,1256692.98,279239.02,0.18180428560639406,28612.66839680104,29.067529843986083
Persona 2 - Agak Boros,2024-01,4120935.0,4265641.0,0.9660763763289034,3.392362367109656,144706.0,31,132933.38709677418,Makan & Minum,222394.0,206329.0,0.0,2420593.0,1271619.0,0.05396687887578911,0.0500684917379187,0.0,0.58738926966817,0.3085753597181222,3269968.0,850967.0,0.20649852521333145,212193.88624269667,
Persona 2 - Agak Boros,2024-02,3304657.0,7750026.0,0.42640592431560875,57.359407568439124,4445369.0,28,118023.46428571429,Makan & Minum,376076.0,69583.0,0.0,2793375.0,65623.0,0.11380182572654288,0.0210560430326052,0.0,0.845284397140157,0.019857734100694868,2570413.0,734244.0,0.22218463217211348,64126.35169868829,-19.80807753580195
Persona 2 - Agak Boros,2024-03,5411553.0,10388422.0,0.5209215605604008,47.90784394395992,4976869.0,31,174566.2258064516,Makan & Minum,403562.0,408637.0,0.0,3233897.0,1365457.0,0.07457415643901114,0.07551196486479944,0.0,0.5975913014249329,0.2523225772712565,2873824.0,2537729.0,0.4689465297669634,238285.19864547602,63.755360995104795
Persona 2 - Agak Boros,2024-04,3116633.0,6029064.0,0.5169348011565311,48.30651988434689,2912431.0,28,111308.32142857143,Makan & Minum,236352.0,436562.0,0.0,2369696.0,74023.0,0.07583568549777918,0.14007488209230923,0.0,0.7603384806616628,0.02375095174824883,2473240.0,643393.0,0.20643848666172757,71974.08116355013,-42.40778940906612
Persona 2 - Agak Boros,2024-05,3653141.0,5633083.0,0.6485153866896689,35.14846133103312,1979942.0,30,121771.36666666667,Makan & Minum,370693.0,143715.0,0.0,3050033.0,88700.0,0.1014724041585036,0.03934011854456206,0.0,0.8349070019470916,0.02428047534984278,2536533.0,1116608.0,0.30565696752465893,60786.38602997433,17.21434637957051
Persona 2 - Agak Boros,2024-06,3576490.0,7103112.0,0.5035102923901523,49.64897076098476,3526622.0,30,119216.33333333333,Makan & Minum,379106.0,216602.0,0.0,2910068.0,70714.0,0.1059994575687336,0.060562730498337755,0.0,0.8136659126685661,0.019771899264362545,2480938.0,1095552.0,0.30632044266865,55378.5373303645,-2.0982217768216405
Persona 2 - Agak Boros,2024-07,4470850.0,12326481.0,0.36270286710375815,63.72971328962418,7855631.0,29,154167.24137931035,Makan & Minum,313686.0,63515.0,0.0,2854231.0,1239418.0,0.07016249706431663,0.014206470805327847,0.0,0.6384090273661608,0.27722200476419473,3745193.0,725657.0,0.1623085095675319,221977.3129531573,25.00664058895734
Persona 2 - Agak Boros,2024-08,4356410.0,5588297.0,0.77955949728513,22.044050271487002,1231887.0,30,145213.66666666666,Makan & Minum,525375.0,78870.0,0.0,2558009.0,1194156.0,0.12059815306640101,0.018104356568826165,0.0,0.5871827950078161,0.27411469535695676,2678612.0,1677798.0,0.3851331715793509,210998.6152695751,-2.559692228547139
Persona 2 - Agak Boros,2024-09,6029197.0,3868816.0,1.558408825852664,-55.84088258526639,-2160381.0,30,200973.23333333334,Makan & Minum,390304.0,69924.0,0.0,3052206.0,2516763.0,0.06473565219381619,0.011597564319095893,0.0,0.5062375636423888,0.41742921984469905,4882439.0,1146758.0,0.19020078461526468,311350.08783446625,38.39829125357805
Persona 2 - Agak Boros,2024-10,2787656.0,8625791.0,0.3231768541574912,67.68231458425088,5838135.0,29,96126.06896551725,Makan & Minum,529230.0,61176.0,0.0,2116667.0,80583.0,0.18984767130521127,0.021945318934617472,0.0,0.7592999279681567,0.02890708179201451,2070912.0,716744.0,0.25711350324430277,46879.27032352895,-53.764058464170276
Persona 2 - Agak Boros,2024-11,3119712.0,2974435.0,1.048841880895027,-4.884188089502713,-145277.0,29,107576.27586206897,Makan & Minum,463933.0,140809.0,0.0,2514970.0,0.0,0.14871020145449323,0.045135256074919736,0.0,0.806154542470587,0.0,2275936.0,843776.0,0.2704659917325702,63517.3864605458,11.911656244529457
Persona 2 - Agak Boros,2024-12,3691076.0,3781213.0,0.976161882443544,2.383811755645609,90137.0,31,119066.96774193548,Makan & Minum,519914.0,281711.0,0.0,2889451.0,0.0,0.14085702922399865,0.07632218897687287,0.0,0.7828207817991285,0.0,2508297.0,1182779.0,0.3204428735685746,57450.566906099884,18.31463930003796
Persona 3 - Hemat Banget,2024-01,1289952.0,874375.0,1.4752846318799142,-47.52846318799142,-415577.0,31,41611.354838709674,Tagihan,195400.0,28451.0,206594.0,359289.0,500218.0,0.15147850462652873,0.02205585944283198,0.16015634690283048,0.2785289685197589,0.3877803205080499,1075779.0,214173.0,0.16603175932127706,84023.55211468921,
Persona 3 - Hemat Banget,2024-02,796722.0,55380.0,14.386457204767064,-1338.6457204767064,-741342.0,26,30643.153846153848,Makan & Minum,105953.0,47404.0,245240.0,295301.0,102824.0,0.1329861607938528,0.05949879631791265,0.3078112566240169,0.37064496775537764,0.12905881850883996,622517.0,174205.0,0.2186521772964723,15774.787969902625,-38.23630646721738
Persona 3 - Hemat Banget,2024-03,1066350.0,72086.0,14.792747551535665,-1379.2747551535665,-994264.0,29,36770.68965517241,Makan & Minum,203369.0,50093.0,249565.0,446734.0,116589.0,0.19071505603225958,0.04697613353964458,0.23403666713555588,0.4189374970694425,0.10933464622309748,756248.0,310102.0,0.29080695831575,21668.103315544337,33.842168284545934
Persona 3 - Hemat Banget,2024-04,1457204.0,2361404.0,0.6170922044681892,38.290779553181075,904200.0,30,48573.46666666667,Tagihan,251877.0,26577.0,124565.0,397542.0,656643.0,0.17284951180479877,0.018238352351489566,0.08548219741367716,0.27281149379222125,0.45061844463781325,1212644.0,244560.0,0.1678282519125668,91228.46479665226,36.653443991184886
Persona 3 - Hemat Banget,2024-05,787980.0,145648.0,5.410166977919367,-441.01669779193674,-642332.0,27,29184.444444444445,Makan & Minum,174748.0,20601.0,220473.0,295556.0,76602.0,0.221767049925125,0.026144064570166756,0.27979517246630625,0.3750805858016701,0.0972131272367319,637861.0,150119.0,0.1905111804868144,13932.702524672864,-45.92521019706231
Persona 3 - Hemat Banget,2024-06,731852.0,173099.0,4.227938925123773,-322.7938925123773,-558753.0,29,25236.275862068964,Makan & Minum,155861.0,0.0,179265.0,286838.0,109888.0,0.21296792247612906,0.0,0.2449470658001891,0.3919344348310861,0.15015057689259578,471258.0,260594.0,0.35607472549094626,13411.493005458713,-7.123023426990538
Persona 3 - Hemat Banget,2024-07,1135253.0,1167890.0,0.972054731181875,2.7945268818124993,32637.0,28,40544.75,Makan & Minum,252224.0,86643.0,223901.0,412522.0,159963.0,0.22217426423889652,0.07632043253794529,0.19722564045195212,0.3633745077088543,0.14090515506235174,919239.0,216014.0,0.19027829038989547,25557.060612625373,55.120570825795376
Persona 3 - Hemat Banget,2024-08,922881.0,1610233.0,0.5731350680305273,42.686493196947275,687352.0,29,31823.48275862069,Makan & Minum,183640.0,99921.0,164918.0,316937.0,157465.0,0.1989855680201456,0.10827073046254067,0.1786990955496971,0.34342130783925556,0.17062329812836108,652930.0,269951.0,0.29250900170227795,17153.461875961053,-18.707019492571263
Persona 3 - Hemat Banget,2024-09,2125305.0,1720402.0,1.2353537138412998,-23.535371384129988,-404903.0,30,70843.5,Tagihan,276582.0,80336.0,273074.0,277917.0,1217396.0,0.1301375567271521,0.037799751094548785,0.12848697010546722,0.13076570186396777,0.5728100202088642,1882365.0,242940.0,0.11430829927939755,145838.99317793982,130.29025410643408
Persona 3 - Hemat Banget,2024-10,1483524.0,57132.0,25.966603654694392,-2496.660365469439,-1426392.0,31,47855.6129032258,Tagihan,150606.0,27566.0,258340.0,371147.0,675865.0,0.10151908563663277,0.018581431780004907,0.17413941398993207,0.2501793027952362,0.455580765798194,1347083.0,136441.0,0.09197087475497531,99307.82054725176,-30.197124647991703
Persona 3 - Hemat Banget,2024-11,1351385.0,221200.0,6.109335443037975,-510.9335443037975,-1130185.0,29,46599.48275862069,Tagihan,156394.0,29116.0,152940.0,390984.0,621951.0,0.11572867835590894,0.021545303521942304,0.11317278199772826,0.2893209559081979,0.4602322802162226,624378.0,727007.0,0.5379717845025659,102423.68848723447,-8.907102278089196
Persona 3 - Hemat Banget,2024-12,723892.0,124296.0,5.823936409860333,-482.3936409860333,-599596.0,30,24129.733333333334,Makan & Minum,132606.0,6520.0,197710.0,343603.0,43453.0,0.18318478447061165,0.009006868427887033,0.2731208522818321,0.4746605847281086,0.06002691009156062,584772.0,139120.0,0.19218336436927055,13624.33667840151,-46.433325810187334
Persona 4 - Anak Nongkrong,2024-01,7003646.0,1318730.0,5.310902155862079,-431.09021558620793,-5684916.0,28,250130.2142857143,Makan & Minum,620202.0,1099824.0,0.0,2666347.0,2617273.0,0.08855416164666233,0.1570359210045739,0.0,0.380708419586027,0.3737014977627367,5785933.0,1217713.0,0.17386843938143076,372141.2287705318,
Persona 4 - Anak Nongkrong,2024-02,8371016.0,0.0,,,-8371016.0,26,321962.1538461539,Tagihan,819664.0,1109686.0,0.0,1806233.0,4635433.0,0.0979169075772881,0.13256288125599092,0.0,0.2157722551241092,0.5537479560426118,3834411.0,4536605.0,0.5419419817140476,540470.8930836288,19.523688090460322
Persona 4 - Anak Nongkrong,2024-03,5728112.0,2338219.0,2.449775662587636,-144.9775662587636,-3389893.0,28,204575.42857142858,Tagihan,945404.0,550047.0,0.0,1748055.0,2484606.0,0.1650463538422433,0.09602588077886745,0.0,0.3051712326853944,0.43375653269349485,3129308.0,2598804.0,0.4536929445513635,287886.3726388292,-31.572081572893897
Persona 4 - Anak Nongkrong,2024-04,8354693.0,2404090.0,3.475199763735967,-247.51997637359668,-5950603.0,29,288092.8620689655,Tagihan,986662.0,1158885.0,0.0,2251679.0,3957467.0,0.11809673916204941,0.13871066237861762,0.0,0.26951068100288067,0.47368191745645233,7299388.0,1055305.0,0.12631283998107412,420058.3643712692,45.85421863259658
Persona 4 - Anak Nongkrong,2024-05,7625475.0,2437413.0,3.128511663800923,-212.8511663800923,-5188062.0,28,272338.39285714284,Tagihan,679632.0,1290528.0,0.0,1821366.0,3833949.0,0.0891265134303109,0.1692390310111829,0.0,0.2388527927768434,0.5027816627816628,3772462.0,3853013.0,0.5052817037627164,428797.3316055326,-8.72824411381723
Persona 4 - Anak Nongkrong,2024-06,4349729.0,0.0,,,-4349729.0,29,149990.6551724138,Makan & Minum,545199.0,982104.0,0.0,1925692.0,896734.0,0.12534091204302614,0.22578510063500506,0.0,0.4427153967523034,0.20615859056966537,1963225.0,2386504.0,0.5486557898204693,171187.69503953334,-42.95792721109177
Persona 4 - Anak Nongkrong,2024-07,6637260.0,1292903.0,5.133610178025729,-413.3610178025729,-5344357.0,31,214105.16129032258,Makan & Minum,946776.0,1066406.0,0.0,2528081.0,2095997.0,0.14264560978476057,0.1606696136658802,0.0,0.38089226578437485,0.3157925107649843,5700891.0,936369.0,0.14107764348541416,246496.56538595652,52.590195848982766
Persona 4 - Anak Nongkrong,2024-08,5934215.0,1425228.0,4.163695212274808,-316.3695212274808,-4508987.0,27,219785.74074074073,Tagihan,863509.0,1254635.0,0.0,1651539.0,2164532.0,0.14551360205182995,0.211423920434295,0.0,0.2783079143576699,0.36475456315620514,4388630.0,1545585.0,0.260453151764808,317546.4737602735,-10.592398067877406
Persona 4 - Anak Nongkrong,2024-09,5953929.0,0.0,,,-5953929.0,29,205307.89655172414,Tagihan,881472.0,1269395.0,0.0,1799220.0,2003842.0,0.1480487926543968,0.21320291189229834,0.0,0.30219036874641936,0.3365579267068855,3930705.0,2023224.0,0.33981325608686297,255771.18024897412,0.3322090621927343
Persona 4 - Anak Nongkrong,2024-10,5294170.0,1038950.0,5.095692766735646,-409.5692766735646,-4255220.0,28,189077.5,Makan & Minum,881211.0,1233639.0,0.0,2290533.0,888787.0,0.16644932066782894,0.23301839570697577,0.0,0.4326519548862239,0.16788032873897135,3372967.0,1921203.0,0.3628903114180315,173453.50094637915,-11.081069324138737
Persona 4 - Anak Nongkrong,2024-11,9340861.0,1029164.0,9.076163760100432,-807.6163760100432,-8311697.0,29,322098.6551724138,Tagihan,556654.0,1387251.0,0.0,1804507.0,5592449.0,0.059593435765717954,0.1485142536646247,0.0,0.19318422573679236,0.598708084832865,5447628.0,3893233.0,0.41679594632657524,576900.8665780628,76.43674079222995
Persona 4 - Anak Nongkrong,2024-12,7690488.0,1230156.0,6.2516363778252515,-525.1636377825251,-6460332.0,30,256349.6,Tagihan,462812.0,2053341.0,0.0,2169361.0,3004974.0,0.06017979613257312,0.2669974909264536,0.0,0.2820836597105411,0.3907390532304322,5293001.0,2397487.0,0.3117470568837764,328104.15110056236,-17.668317727883974
