Date,Description,Amount,Transaction_Type,Category,Account_Name
2024-01-10,Paket Data,72280.0,EXPENSE,Tagihan,Gopay
2024-01-10,Es Teh,7206.0,EXPENSE,Makan & Minum,BCA
2024-01-10,Kopi Kenangan,37930.0,EXPENSE,Makan & Minum,OVO
2024-01-11,Parkir,3854.0,EXPENSE,Lain-lain,Dompet Tunai
2024-01-11,Netflix,66059.0,EXPENSE,Hiburan,BCA
2024-01-11,KFC,31150.0,EXPENSE,Makan & Minum,Gopay
2024-01-11,Pizza,29467.0,EXPENSE,Makan & Minum,Gopay
2024-01-11,Nasi Bungkus,6412.0,EXPENSE,Makan & Minum,BCA
2024-01-11,Mie Instan,10931.0,EXPENSE,Makan & Minum,BCA
2024-01-11,Es Teh,6373.0,EXPENSE,Makan & Minum,BCA
2024-01-11,Nasi Padang,34574.0,EXPENSE,Makan & Minum,Dana
2024-01-11,Nasi Padang,26780.0,EXPENSE,Makan & Minum,Dana
2024-01-11,Sushi,68510.0,EXPENSE,Makan & Minum,OVO
2024-01-11,Pertamax,35172.0,EXPENSE,Tagihan,Gopay
2024-01-12,KFC,20571.0,EXPENSE,Makan & Minum,Gopay
2024-01-12,Pertamax,31958.0,EXPENSE,Tagihan,Gopay
2024-01-12,Isi BBM,26449.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-12,Kopi Kenangan,54533.0,EXPENSE,Makan & Minum,Gopay
2024-01-12,Starbucks,38681.0,EXPENSE,Makan & Minum,Gopay
2024-01-12,Bubble Tea,51105.0,EXPENSE,Makan & Minum,Gopay
2024-01-12,Pizza,42608.0,EXPENSE,Makan & Minum,Gopay
2024-01-12,Es Teh,11124.0,EXPENSE,Makan & Minum,BCA
2024-01-12,Game,7018.0,EXPENSE,Hiburan,BCA
2024-01-12,ATM,9718.0,EXPENSE,Lain-lain,Dompet Tunai
2024-01-12,Kopi Kenangan,21743.0,EXPENSE,Makan & Minum,Dana
2024-01-13,McDonalds,34706.0,EXPENSE,Makan & Minum,BCA
2024-01-13,GrabFood,51042.0,EXPENSE,Makan & Minum,Gopay
2024-01-13,Kantin,11924.0,EXPENSE,Makan & Minum,BCA
2024-01-13,Nasi Bungkus,10231.0,EXPENSE,Makan & Minum,BCA
2024-01-13,Print Tugas,11324.0,EXPENSE,Lain-lain,Gopay
2024-01-14,Clubbing,111070.0,EXPENSE,Hiburan,BCA
2024-01-14,Nasi Padang,36897.0,EXPENSE,Makan & Minum,BCA
2024-01-14,Starbucks,32394.0,EXPENSE,Makan & Minum,Dana
2024-01-14,Netflix,85371.0,EXPENSE,Hiburan,OVO
2024-01-14,Bubble Tea,25844.0,EXPENSE,Makan & Minum,Gopay
2024-01-14,Baju,21809.0,EXPENSE,Belanja,Gopay
2024-01-14,Parkir,10778.0,EXPENSE,Lain-lain,Gopay
2024-01-14,KFC,18798.0,EXPENSE,Makan & Minum,Gopay
2024-01-14,Print Tugas,4495.0,EXPENSE,Lain-lain,Gopay
2024-01-15,Fotokopi,2838.0,EXPENSE,Lain-lain,Dompet Tunai
2024-01-15,Dana Darurat,149845.0,INCOME,Goals,BCA
2024-01-15,Gaji Part Time,1318730.0,INCOME,Gaji,BCA
2024-01-15,Sushi,44212.0,EXPENSE,Makan & Minum,OVO
2024-01-15,GoFood,37077.0,EXPENSE,Makan & Minum,Dana
2024-01-15,Nasi Padang,33383.0,EXPENSE,Makan & Minum,Dana
2024-01-15,Pertamax,42503.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-15,Karaoke,151720.0,EXPENSE,Hiburan,Dana
2024-01-15,Bensin,43434.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-15,GrabFood,26578.0,EXPENSE,Makan & Minum,OVO
2024-01-15,Warung Makan,61295.0,EXPENSE,Makan & Minum,BCA
2024-01-15,Bubble Tea,19085.0,EXPENSE,Makan & Minum,Gopay
2024-01-16,Cafe,25568.0,EXPENSE,Makan & Minum,OVO
2024-01-16,Es Teh,6492.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-16,Karaoke,85765.0,EXPENSE,Hiburan,Gopay
2024-01-16,GoFood,22910.0,EXPENSE,Makan & Minum,BCA
2024-01-16,Sushi,39756.0,EXPENSE,Makan & Minum,Gopay
2024-01-17,Warung Makan,33673.0,EXPENSE,Makan & Minum,BCA
2024-01-17,Bakmi,25967.0,EXPENSE,Makan & Minum,Dana
2024-01-17,Bensin,38764.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-17,Top Up,6311.0,EXPENSE,Hiburan,Gopay
2024-01-17,Warteg,7514.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-17,Kopi Kenangan,21672.0,EXPENSE,Makan & Minum,BCA
2024-01-18,Bakmi,28382.0,EXPENSE,Makan & Minum,OVO
2024-01-18,Sushi,28736.0,EXPENSE,Makan & Minum,Gopay
2024-01-18,Bubble Tea,27097.0,EXPENSE,Makan & Minum,Gopay
2024-01-18,Warung Makan,39281.0,EXPENSE,Makan & Minum,Gopay
2024-01-18,Nasi Padang,28268.0,EXPENSE,Makan & Minum,BCA
2024-01-18,Tokopedia,106835.0,EXPENSE,Belanja,OVO
2024-01-18,Bensin,26206.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-18,Warteg,12214.0,EXPENSE,Makan & Minum,Gopay
2024-01-18,Starbucks,35064.0,EXPENSE,Makan & Minum,OVO
2024-01-19,McDonalds,65845.0,EXPENSE,Makan & Minum,Gopay
2024-01-19,McDonalds,60371.0,EXPENSE,Makan & Minum,Gopay
2024-01-19,Kopi Kekinian,26034.0,EXPENSE,Makan & Minum,OVO
2024-01-19,Bensin,48901.0,EXPENSE,Tagihan,Gopay
2024-01-19,Shampo,8624.0,EXPENSE,Belanja,Gopay
2024-01-19,Warung Nasi,13914.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-20,Alat Tulis,6491.0,EXPENSE,Belanja,BCA
2024-01-20,Mie Instan,11320.0,EXPENSE,Makan & Minum,BCA
2024-01-20,Grab Motor,7962.0,EXPENSE,Lain-lain,Gopay
2024-01-20,Kopi Kenangan,74572.0,EXPENSE,Makan & Minum,Dana
2024-01-20,Bakmi,68891.0,EXPENSE,Makan & Minum,OVO
2024-01-20,Shopee,45063.0,EXPENSE,Belanja,OVO
2024-01-20,GrabFood,32980.0,EXPENSE,Makan & Minum,BCA
2024-01-21,Starbucks,67858.0,EXPENSE,Makan & Minum,Dana
2024-01-21,GoFood,48391.0,EXPENSE,Makan & Minum,Gopay
2024-01-21,Warung Makan,27276.0,EXPENSE,Makan & Minum,BCA
2024-01-21,Bubble Tea,15496.0,EXPENSE,Makan & Minum,BCA
2024-01-21,Nasi Padang,72195.0,EXPENSE,Makan & Minum,Gopay
2024-01-22,Sushi,27044.0,EXPENSE,Makan & Minum,BCA
2024-01-22,Sushi,47033.0,EXPENSE,Makan & Minum,BCA
2024-01-22,Pertamax,24066.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-22,Shopee,97186.0,EXPENSE,Belanja,BCA
2024-01-22,KFC,32426.0,EXPENSE,Makan & Minum,Gopay
2024-01-22,Bubble Tea,71738.0,EXPENSE,Makan & Minum,BCA
2024-01-22,Pizza,69887.0,EXPENSE,Makan & Minum,Gopay
2024-01-23,Netflix,64939.0,EXPENSE,Hiburan,BCA
2024-01-23,Kantin,13622.0,EXPENSE,Makan & Minum,Gopay
2024-01-23,Grab Motor,11570.0,EXPENSE,Lain-lain,Gopay
2024-01-23,GrabFood,21623.0,EXPENSE,Makan & Minum,Gopay
2024-01-23,Kopi Kenangan,38503.0,EXPENSE,Makan & Minum,Gopay
2024-01-23,Cafe,22076.0,EXPENSE,Makan & Minum,Dana
2024-01-23,Pertamax,38793.0,EXPENSE,Tagihan,Gopay
2024-01-23,McDonalds,20224.0,EXPENSE,Makan & Minum,Gopay
2024-01-24,Sushi,71075.0,EXPENSE,Makan & Minum,Gopay
2024-01-24,Kopi Kenangan,58783.0,EXPENSE,Makan & Minum,BCA
2024-01-24,Kopi Kekinian,36775.0,EXPENSE,Makan & Minum,Gopay
2024-01-24,Sushi,38281.0,EXPENSE,Makan & Minum,Dana
2024-01-24,Bensin,44395.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-24,Grab Motor,11535.0,EXPENSE,Lain-lain,Gopay
2024-01-24,Grab Motor,2425.0,EXPENSE,Lain-lain,Gopay
2024-01-24,Top Up ML,75331.0,EXPENSE,Hiburan,Dana
2024-01-24,Isi BBM,39555.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-24,Kantin,14275.0,EXPENSE,Makan & Minum,Gopay
2024-01-24,Bubble Tea,33977.0,EXPENSE,Makan & Minum,OVO
2024-01-24,KFC,31130.0,EXPENSE,Makan & Minum,BCA
2024-01-25,Nasi Padang,36401.0,EXPENSE,Makan & Minum,BCA
2024-01-25,Warung Nasi,11967.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-25,Kopi Kekinian,61597.0,EXPENSE,Makan & Minum,OVO
2024-01-25,McDonalds,18481.0,EXPENSE,Makan & Minum,BCA
2024-01-25,Indomaret,32866.0,EXPENSE,Belanja,OVO
2024-01-25,Sushi,62887.0,EXPENSE,Makan & Minum,OVO
2024-01-26,Nasi Padang,25223.0,EXPENSE,Makan & Minum,OVO
2024-01-26,Bubble Tea,55618.0,EXPENSE,Makan & Minum,Gopay
2024-01-26,Warung Nasi,7391.0,EXPENSE,Makan & Minum,BCA
2024-01-26,Sushi,38788.0,EXPENSE,Makan & Minum,OVO
2024-01-26,Starbucks,26362.0,EXPENSE,Makan & Minum,Dana
2024-01-26,Starbucks,68401.0,EXPENSE,Makan & Minum,Gopay
2024-01-27,Karaoke,197015.0,EXPENSE,Hiburan,BCA
2024-01-27,Kopi Kenangan,24075.0,EXPENSE,Makan & Minum,Gopay
2024-01-27,Starbucks,32578.0,EXPENSE,Makan & Minum,Gopay
2024-01-27,Kopi Kenangan,30873.0,EXPENSE,Makan & Minum,Dana
2024-01-27,GoFood,54005.0,EXPENSE,Makan & Minum,BCA
2024-01-27,ATM,6992.0,EXPENSE,Lain-lain,Dompet Tunai
2024-01-27,Print Tugas,11442.0,EXPENSE,Lain-lain,Dompet Tunai
2024-01-27,Shampo,16594.0,EXPENSE,Belanja,BCA
2024-01-27,Tokopedia,136728.0,EXPENSE,Belanja,BCA
2024-01-28,GoFood,65039.0,EXPENSE,Makan & Minum,BCA
2024-01-28,Warung Makan,67164.0,EXPENSE,Makan & Minum,BCA
2024-01-28,Karaoke,139271.0,EXPENSE,Hiburan,Gopay
2024-01-28,Gorengan,9643.0,EXPENSE,Makan & Minum,BCA
2024-01-28,Gorengan,5707.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-28,Kopi Kenangan,32549.0,EXPENSE,Makan & Minum,Gopay
2024-01-28,Kopi Kenangan,31918.0,EXPENSE,Makan & Minum,OVO
2024-01-28,Karaoke,36700.0,EXPENSE,Hiburan,Dana
2024-01-29,Kopi Kenangan,29730.0,EXPENSE,Makan & Minum,OVO
2024-01-29,Nasi Padang,27505.0,EXPENSE,Makan & Minum,Dana
2024-01-29,Cafe,23596.0,EXPENSE,Makan & Minum,OVO
2024-01-29,Fotokopi,14919.0,EXPENSE,Lain-lain,Dompet Tunai
2024-01-30,Mie Instan,14100.0,EXPENSE,Makan & Minum,BCA
2024-01-30,Top Up ML,186785.0,EXPENSE,Hiburan,OVO
2024-01-30,Warteg,8656.0,EXPENSE,Makan & Minum,BCA
2024-01-30,Warteg,6753.0,EXPENSE,Makan & Minum,Gopay
2024-01-30,Nasi Padang,25957.0,EXPENSE,Makan & Minum,OVO
2024-01-30,KFC,24001.0,EXPENSE,Makan & Minum,OVO
2024-01-31,Nasi Padang,16612.0,EXPENSE,Makan & Minum,Gopay
2024-01-31,Bensin,44128.0,EXPENSE,Tagihan,Gopay
2024-01-31,Kopi Kenangan,47970.0,EXPENSE,Makan & Minum,BCA
2024-01-31,Starbucks,24395.0,EXPENSE,Makan & Minum,BCA
2024-01-31,GoFood,54596.0,EXPENSE,Makan & Minum,Gopay
2024-01-31,Bubble Tea,19690.0,EXPENSE,Makan & Minum,BCA
2024-02-01,Indomaret,40382.0,EXPENSE,Belanja,BCA
2024-02-01,Kiriman Mama,2084215.0,INCOME,Gaji,BCA
2024-02-01,Freelance,1445644.0,INCOME,Gaji,Gopay
2024-02-01,Sushi,25622.0,EXPENSE,Makan & Minum,Gopay
2024-02-01,Bakmi,39075.0,EXPENSE,Makan & Minum,Dana
2024-02-01,Pertamax,26792.0,EXPENSE,Tagihan,Dompet Tunai
2024-02-01,Pertamax,26413.0,EXPENSE,Tagihan,Dompet Tunai
2024-02-01,Warung Makan,35329.0,EXPENSE,Makan & Minum,OVO
2024-02-02,Grab Motor,3764.0,EXPENSE,Lain-lain,Dompet Tunai
2024-02-02,KFC,27065.0,EXPENSE,Makan & Minum,BCA
2024-02-02,GrabFood,52433.0,EXPENSE,Makan & Minum,BCA
2024-02-02,Kopi Kekinian,28583.0,EXPENSE,Makan & Minum,OVO
2024-02-02,Sewa Bulanan,1283908.0,EXPENSE,Tagihan,BCA
2024-02-02,Starbucks,21285.0,EXPENSE,Makan & Minum,Gopay
2024-02-02,Sushi,25061.0,EXPENSE,Makan & Minum,BCA
2024-02-02,Kiriman Ortu,1060970.0,INCOME,Gaji,Gopay
2024-02-02,Grab Motor,3135.0,EXPENSE,Lain-lain,Dompet Tunai
2024-02-02,Mie Instan,9520.0,EXPENSE,Makan & Minum,Gopay
2024-02-02,Gorengan,12098.0,EXPENSE,Makan & Minum,Gopay
2024-02-03,GoFood,23718.0,EXPENSE,Makan & Minum,Gopay
2024-02-03,Starbucks,54866.0,EXPENSE,Makan & Minum,BCA
2024-02-03,Cafe,52744.0,EXPENSE,Makan & Minum,BCA
2024-02-03,Kost,1059048.0,EXPENSE,Tagihan,BCA
2024-02-03,Warung Makan,24406.0,EXPENSE,Makan & Minum,Gopay
2024-02-03,Kopi Kekinian,20565.0,EXPENSE,Makan & Minum,BCA
2024-02-03,Kiriman Papa,2068656.0,INCOME,Gaji,BCA
2024-02-04,Kopi Kenangan,64316.0,EXPENSE,Makan & Minum,Dana
2024-02-04,Nasi Padang,28704.0,EXPENSE,Makan & Minum,OVO
2024-02-04,Sewa Bulanan,999730.0,EXPENSE,Tagihan,Dompet Tunai
2024-02-04,Indomaret,24188.0,EXPENSE,Belanja,Gopay
2024-02-04,Parkir,5705.0,EXPENSE,Lain-lain,Gopay
2024-02-04,Kost,1292747.0,EXPENSE,Tagihan,BCA
2024-02-04,McDonalds,24301.0,EXPENSE,Makan & Minum,BCA
2024-02-04,GoFood,40049.0,EXPENSE,Makan & Minum,OVO
2024-02-04,GrabFood,18987.0,EXPENSE,Makan & Minum,OVO
2024-02-04,Baju,98186.0,EXPENSE,Belanja,Dana
2024-02-05,KFC,31611.0,EXPENSE,Makan & Minum,Gopay
2024-02-05,GoFood,21032.0,EXPENSE,Makan & Minum,OVO
2024-02-05,Isi BBM,43230.0,EXPENSE,Tagihan,Gopay
2024-02-05,KFC,33829.0,EXPENSE,Makan & Minum,Gopay
2024-02-05,Kantin,28077.0,EXPENSE,Makan & Minum,Gopay
2024-02-05,Mie Instan,11447.0,EXPENSE,Makan & Minum,BCA
2024-02-05,Mie Instan,6320.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-02-06,Sushi,70148.0,EXPENSE,Makan & Minum,Gopay
2024-02-06,Sushi,43805.0,EXPENSE,Makan & Minum,BCA
2024-02-06,Print Tugas,2622.0,EXPENSE,Lain-lain,Gopay
2024-02-06,Cafe,26263.0,EXPENSE,Makan & Minum,Dana
2024-02-06,Isi BBM,32333.0,EXPENSE,Tagihan,Gopay
2024-02-06,Alfamart,93168.0,EXPENSE,Belanja,BCA
2024-02-06,Karaoke,115393.0,EXPENSE,Hiburan,OVO
2024-02-06,Pizza,27712.0,EXPENSE,Makan & Minum,OVO
2024-02-07,GoFood,34485.0,EXPENSE,Makan & Minum,OVO
2024-02-07,Nasi Padang,68964.0,EXPENSE,Makan & Minum,Gopay
2024-02-07,Warung Makan,37360.0,EXPENSE,Makan & Minum,Gopay
2024-02-07,Isi BBM,21876.0,EXPENSE,Tagihan,Dompet Tunai
2024-02-07,Alfamart,42626.0,EXPENSE,Belanja,BCA
2024-02-07,Pizza,19877.0,EXPENSE,Makan & Minum,OVO
2024-02-07,GoFood,19910.0,EXPENSE,Makan & Minum,BCA
2024-02-07,Mie Instan,6717.0,EXPENSE,Makan & Minum,BCA
2024-02-08,GoFood,72923.0,EXPENSE,Makan & Minum,Gopay
2024-02-08,Kantin,6664.0,EXPENSE,Makan & Minum,Gopay
2024-02-08,McDonalds,29024.0,EXPENSE,Makan & Minum,OVO
2024-02-08,Nasi Padang,22398.0,EXPENSE,Makan & Minum,OVO
2024-02-08,GoFood,30435.0,EXPENSE,Makan & Minum,Dana
2024-02-08,Sushi,37756.0,EXPENSE,Makan & Minum,Dana
2024-02-09,GoFood,30859.0,EXPENSE,Makan & Minum,BCA
2024-02-09,Bowling,81281.0,EXPENSE,Hiburan,BCA
2024-02-09,Fotokopi,9469.0,EXPENSE,Lain-lain,Dompet Tunai
2024-02-09,Pertamax,25403.0,EXPENSE,Tagihan,Dompet Tunai
2024-02-09,Bakmi,21503.0,EXPENSE,Makan & Minum,Gopay
2024-02-09,GoFood,43312.0,EXPENSE,Makan & Minum,OVO
2024-02-09,McDonalds,62671.0,EXPENSE,Makan & Minum,OVO
2024-02-10,Top Up ML,96157.0,EXPENSE,Hiburan,BCA
2024-02-10,Spotify,27520.0,EXPENSE,Tagihan,Gopay
2024-02-10,GoFood,38283.0,EXPENSE,Makan & Minum,BCA
2024-02-10,McDonalds,20418.0,EXPENSE,Makan & Minum,Gopay
2024-02-10,GoFood,42703.0,EXPENSE,Makan & Minum,OVO
2024-02-10,Mie Instan,5347.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-02-10,GoFood,29049.0,EXPENSE,Makan & Minum,Dana
2024-02-10,Spotify,65623.0,EXPENSE,Tagihan,BCA
2024-02-11,Bakmi,41143.0,EXPENSE,Makan & Minum,BCA
2024-02-11,Kopi Kenangan,77077.0,EXPENSE,Makan & Minum,BCA
2024-02-11,Sushi,23012.0,EXPENSE,Makan & Minum,BCA
2024-02-11,Top Up ML,86561.0,EXPENSE,Hiburan,Gopay
2024-02-11,Shopee,85773.0,EXPENSE,Belanja,BCA
2024-02-11,Nasi Bungkus,12685.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-02-12,Bensin,42757.0,EXPENSE,Tagihan,Dompet Tunai
2024-02-12,Bioskop,94628.0,EXPENSE,Hiburan,BCA
2024-02-12,GoFood,41995.0,EXPENSE,Makan & Minum,Gopay
2024-02-12,Bensin,42376.0,EXPENSE,Tagihan,Dompet Tunai
2024-02-12,GrabFood,20486.0,EXPENSE,Makan & Minum,OVO
2024-02-12,Bakmi,31881.0,EXPENSE,Makan & Minum,Dana
2024-02-12,ATM,12713.0,EXPENSE,Lain-lain,Dompet Tunai
2024-02-12,Es Teh,13960.0,EXPENSE,Makan & Minum,Gopay
2024-02-12,Gorengan,12996.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-02-12,Bensin,25975.0,EXPENSE,Tagihan,Gopay
2024-02-12,Bowling,69583.0,EXPENSE,Hiburan,Dana
2024-02-13,Bakmi,60130.0,EXPENSE,Makan & Minum,BCA
2024-02-13,Tokopedia,29029.0,EXPENSE,Belanja,OVO
2024-02-13,Warung Nasi,5925.0,EXPENSE,Makan & Minum,Gopay
2024-02-13,Kantin,10834.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-02-13,Shampo,21927.0,EXPENSE,Belanja,BCA
2024-02-13,Warung Makan,65476.0,EXPENSE,Makan & Minum,Gopay
2024-02-13,Parkir,7209.0,EXPENSE,Lain-lain,Gopay
2024-02-14,Warung Nasi,10116.0,EXPENSE,Makan & Minum,Gopay
2024-02-14,Kopi Kekinian,17369.0,EXPENSE,Makan & Minum,OVO
2024-02-14,Shopee,93745.0,EXPENSE,Belanja,BCA
2024-02-14,Cafe,39391.0,EXPENSE,Makan & Minum,Dana
2024-02-14,Starbucks,37625.0,EXPENSE,Makan & Minum,Gopay
2024-02-14,Cafe,28558.0,EXPENSE,Makan & Minum,OVO
2024-02-14,McDonalds,67446.0,EXPENSE,Makan & Minum,Gopay
2024-02-15,Clubbing,174128.0,EXPENSE,Hiburan,OVO
2024-02-15,Pertamax,32983.0,EXPENSE,Tagihan,Gopay
2024-02-15,Nasi Padang,26023.0,EXPENSE,Makan & Minum,Dana
2024-02-15,Bakmi,25071.0,EXPENSE,Makan & Minum,Gopay
2024-02-15,Uang Bulanan,1328495.0,INCOME,Gaji,BCA
2024-02-15,Ongkos,11633.0,EXPENSE,Lain-lain,Dompet Tunai
2024-02-15,Nasi Padang,29813.0,EXPENSE,Makan & Minum,BCA
2024-02-15,Nasi Bungkus,8514.0,EXPENSE,Makan & Minum,Gopay
2024-02-15,Pertamax,28317.0,EXPENSE,Tagihan,Dompet Tunai
2024-02-16,Pizza,35107.0,EXPENSE,Makan & Minum,OVO
2024-02-16,Starbucks,37522.0,EXPENSE,Makan & Minum,BCA
