Date,Title,Amount,Type,Category,Account
2024-01-10,Jus Buah,14934.63,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-10,Kopi Kenangan,21165.5,EXPENSE,Makan & Minum,Gopay
2024-01-10,Gojek,19916.09,EXPENSE,Lain-lain,Dompet Tunai
2024-01-10,Baju,51704.48,EXPENSE,Belanja,Dompet Tunai
2024-01-10,Perlengkapan Kamar,187638.11,EXPENSE,Belanja,BCA
2024-01-11,Bioskop,101973.72,EXPENSE,Hiburan,Gopay
2024-01-11,Indomaret,114152.36,EXPENSE,Belanja,BCA
2024-01-11,Alfamart Minuman,8203.49,EXPENSE,Makan & Minum,Gopay
2024-01-11,Iuran Kebersihan,96539.6,EXPENSE,Tagihan,Dompet Tunai
2024-01-11,Listrik Kos,100523.59,EXPENSE,Tagihan,BCA
2024-01-12,Nasi Padang,18176.99,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-12,Transfer Orang Tua,1389426.28,INCOME,Gaji,BCA
2024-01-12,Gaji Part Time,562926.84,INCOME,Gaji,Gopay
2024-01-12,Kopi Kenangan,6804.91,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-13,Top Up Game,77485.75,EXPENSE,Hiburan,Dompet Tunai
2024-01-13,Nasi Padang,25240.31,EXPENSE,Makan & Minum,BCA
2024-01-13,Top Up OVO,12493.85,EXPENSE,Tagihan,Dompet Tunai
2024-01-13,Ongkos Angkot,3508.6,EXPENSE,Lain-lain,Dompet Tunai
2024-01-13,Pizza,47438.41,EXPENSE,Makan & Minum,BCA
2024-01-13,GrabFood,33837.18,EXPENSE,Makan & Minum,Gopay
2024-01-13,Baju,78035.32,EXPENSE,Belanja,Gopay
2024-01-13,Transfer Orang Tua,1339460.5,INCOME,Gaji,Gopay
2024-01-13,Buku Kuliah,110546.98,EXPENSE,Belanja,Dompet Tunai
2024-01-14,Martabak,13393.33,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-14,Mie Ayam,28351.3,EXPENSE,Makan & Minum,Gopay
2024-01-14,Transfer Orang Tua,1160485.13,INCOME,Gaji,Gopay
2024-01-14,Langganan Spotify,40304.93,EXPENSE,Tagihan,Gopay
2024-01-14,ATM,38552.51,EXPENSE,Lain-lain,Gopay
2024-01-15,Top Up Game,63744.77,EXPENSE,Hiburan,Gopay
2024-01-15,Shopee,62250.41,EXPENSE,Belanja,BCA
2024-01-15,Ongkos Angkot,19326.75,EXPENSE,Lain-lain,Gopay
2024-01-15,GrabFood,12317.76,EXPENSE,Makan & Minum,Gopay
2024-01-15,Warung Nasi,44978.17,EXPENSE,Makan & Minum,BCA
2024-01-16,Indomaret,13416.18,EXPENSE,Belanja,Dompet Tunai
2024-01-16,Langganan Spotify,105403.24,EXPENSE,Tagihan,BCA
2024-01-16,Game Online,106600.68,EXPENSE,Hiburan,BCA
2024-01-16,Indomaret Snack,47977.72,EXPENSE,Makan & Minum,Gopay
2024-01-16,Tokopedia,130271.76,EXPENSE,Belanja,Dompet Tunai
2024-01-16,Mie Ayam,5070.43,EXPENSE,Makan & Minum,Gopay
2024-01-16,Nasi Padang,20393.68,EXPENSE,Makan & Minum,BCA
2024-01-16,Bioskop,68744.01,EXPENSE,Hiburan,BCA
2024-01-16,Biaya Admin Bank,127009.9,EXPENSE,Tagihan,Gopay
2024-01-17,Sepatu,115317.73,EXPENSE,Belanja,BCA
2024-01-17,Karaoke,72498.73,EXPENSE,Hiburan,Gopay
2024-01-17,Martabak,45501.04,EXPENSE,Makan & Minum,BCA
2024-01-17,Minimarket,58991.14,EXPENSE,Belanja,BCA
2024-01-17,Donasi,9196.04,EXPENSE,Lain-lain,BCA
2024-01-17,Alfamart Minuman,39880.98,EXPENSE,Makan & Minum,Gopay
2024-01-17,Honor Mengajar,1682922.45,INCOME,Gaji,BCA
2024-01-17,Karaoke,71627.86,EXPENSE,Hiburan,Dompet Tunai
2024-01-17,Karaoke,124390.09,EXPENSE,Hiburan,BCA
2024-01-17,Bioskop,112479.15,EXPENSE,Hiburan,Gopay
2024-01-17,Sepatu,133063.65,EXPENSE,Belanja,Gopay
2024-01-18,Olahraga,38898.98,EXPENSE,Hiburan,Gopay
2024-01-19,Kopi Kenangan,33536.4,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-19,Ongkos Angkot,38926.63,EXPENSE,Lain-lain,BCA
2024-01-19,Freelance,807709.46,INCOME,Gaji,Gopay
2024-01-19,Bakso,35622.47,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-20,Wifi Bulanan,141886.1,EXPENSE,Tagihan,BCA
2024-01-20,Perlengkapan Kamar,139457.72,EXPENSE,Belanja,BCA
2024-01-20,Pulsa,118629.69,EXPENSE,Tagihan,BCA
2024-01-20,Es Teh,14382.97,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-20,Minimarket,24703.93,EXPENSE,Belanja,BCA
2024-01-20,Bioskop,67766.47,EXPENSE,Hiburan,BCA
2024-01-21,Iuran Bulanan,108841.85,EXPENSE,Tagihan,BCA
2024-01-21,Listrik Kos,85537.6,EXPENSE,Tagihan,Gopay
2024-01-21,Skincare,91588.53,EXPENSE,Belanja,BCA
2024-01-21,Pizza,28716.87,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-21,Alfamart,160983.64,EXPENSE,Belanja,BCA
2024-01-21,Alfamart,151419.86,EXPENSE,Belanja,Dompet Tunai
2024-01-21,Game Online,100415.13,EXPENSE,Hiburan,BCA
2024-01-21,Perlengkapan Kamar,153399.68,EXPENSE,Belanja,Gopay
2024-01-22,Parkir,44761.2,EXPENSE,Tagihan,Dompet Tunai
2024-01-22,Netflix,7642.16,EXPENSE,Tagihan,Gopay
2024-01-22,Bowling,57712.5,EXPENSE,Hiburan,Dompet Tunai
2024-01-22,Es Teh,45842.5,EXPENSE,Makan & Minum,Gopay
2024-01-22,Skincare,106355.92,EXPENSE,Belanja,Dompet Tunai
2024-01-22,Top Up OVO,49557.04,EXPENSE,Tagihan,Dompet Tunai
2024-01-22,Langganan Spotify,37569.26,EXPENSE,Tagihan,Dompet Tunai
2024-01-23,Konser,60659.43,EXPENSE,Hiburan,Gopay
2024-01-23,Listrik Kos,21506.57,EXPENSE,Tagihan,Gopay
2024-01-23,Indomaret Snack,25820.59,EXPENSE,Makan & Minum,Gopay
2024-01-23,Kopi Kenangan,23529.45,EXPENSE,Makan & Minum,BCA
2024-01-23,Olahraga,46372.5,EXPENSE,Hiburan,Dompet Tunai
2024-01-23,Beasiswa,1417581.12,INCOME,Gaji,Gopay
2024-01-23,Alat Tulis,196882.57,EXPENSE,Belanja,Dompet Tunai
2024-01-23,Iuran Bulanan,89385.85,EXPENSE,Tagihan,BCA
2024-01-23,KFC,49324.53,EXPENSE,Makan & Minum,BCA
2024-01-23,GoFood,25675.1,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-23,GrabFood,20974.83,EXPENSE,Makan & Minum,BCA
2024-01-23,Biaya Admin Bank,107670.52,EXPENSE,Tagihan,Dompet Tunai
2024-01-23,Nasi Padang,39302.83,EXPENSE,Makan & Minum,Gopay
2024-01-24,Streaming Film,121707.98,EXPENSE,Hiburan,Gopay
2024-01-24,Fotokopi,21648.03,EXPENSE,Lain-lain,Dompet Tunai
2024-01-24,Martabak,44154.45,EXPENSE,Makan & Minum,BCA
2024-01-24,Minimarket,178305.88,EXPENSE,Belanja,Dompet Tunai
2024-01-24,Game Online,19719.34,EXPENSE,Hiburan,Dompet Tunai
2024-01-24,Kopi Kenangan,46990.1,EXPENSE,Makan & Minum,BCA
2024-01-25,McDonalds,41428.22,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-25,Streaming Film,50494.27,EXPENSE,Hiburan,Dompet Tunai
2024-01-25,Warung Nasi,36960.93,EXPENSE,Makan & Minum,BCA
2024-01-25,Indomaret Snack,31658.66,EXPENSE,Makan & Minum,Gopay
2024-01-25,Gym,15135.65,EXPENSE,Hiburan,Dompet Tunai
2024-01-25,Print Tugas,25034.03,EXPENSE,Lain-lain,BCA
2024-01-25,Iuran Kebersihan,125596.07,EXPENSE,Tagihan,Dompet Tunai
2024-01-25,Indomaret Snack,23086.89,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-25,Langganan Spotify,22041.31,EXPENSE,Tagihan,BCA
2024-01-25,Fotokopi,29126.39,EXPENSE,Lain-lain,Gopay
2024-01-26,Iuran Kebersihan,127107.24,EXPENSE,Tagihan,BCA
2024-01-26,Print Tugas,18964.23,EXPENSE,Lain-lain,BCA
2024-01-26,Transfer Orang Tua,807476.44,INCOME,Gaji,Gopay
2024-01-26,Iuran Kebersihan,99648.19,EXPENSE,Tagihan,BCA
2024-01-26,Kantin Kampus,46279.11,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-26,Streaming Film,142007.36,EXPENSE,Hiburan,Gopay
2024-01-26,Martabak,26660.49,EXPENSE,Makan & Minum,Gopay
2024-01-26,Bubble Tea,44282.56,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-27,Sepatu,76717.71,EXPENSE,Belanja,Gopay
2024-01-27,Iuran Kebersihan,135290.36,EXPENSE,Tagihan,BCA
2024-01-27,Wifi Bulanan,100743.89,EXPENSE,Tagihan,BCA
2024-01-27,Parkir,125188.09,EXPENSE,Tagihan,Gopay
2024-01-27,Mie Ayam,17303.32,EXPENSE,Makan & Minum,BCA
2024-01-27,Top Up OVO,102396.6,EXPENSE,Tagihan,BCA
2024-01-27,Wifi Bulanan,22341.17,EXPENSE,Tagihan,Dompet Tunai
2024-01-27,Gojek,13638.58,EXPENSE,Lain-lain,BCA
2024-01-27,Minimarket,187680.38,EXPENSE,Belanja,Dompet Tunai
2024-01-28,Nasi Padang,23080.05,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-28,Nasi Padang,25665.79,EXPENSE,Makan & Minum,Gopay
2024-01-29,Wifi Bulanan,94206.82,EXPENSE,Tagihan,BCA
2024-01-29,Alfamart Minuman,35443.1,EXPENSE,Makan & Minum,BCA
2024-01-29,Alfamart,124311.31,EXPENSE,Belanja,Gopay
2024-01-29,Grab Motor,31959.15,EXPENSE,Lain-lain,Dompet Tunai
2024-01-29,Mie Ayam,43093.15,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-29,Karaoke,61866.09,EXPENSE,Hiburan,Dompet Tunai
2024-01-29,Gym,74475.53,EXPENSE,Hiburan,BCA
2024-01-29,Skincare,24187.15,EXPENSE,Belanja,Dompet Tunai
2024-01-29,Game Online,20882.85,EXPENSE,Hiburan,Dompet Tunai
2024-01-29,Olahraga,11833.22,EXPENSE,Hiburan,Dompet Tunai
2024-01-30,Wifi Bulanan,6762.4,EXPENSE,Tagihan,Dompet Tunai
2024-01-30,Shopee,155587.73,EXPENSE,Belanja,Dompet Tunai
2024-01-30,Perlengkapan Kamar,174244.07,EXPENSE,Belanja,BCA
2024-01-31,Iuran Kebersihan,13378.18,EXPENSE,Tagihan,BCA
2024-01-31,Top Up Game,148112.13,EXPENSE,Hiburan,Dompet Tunai
2024-01-31,Parkir Motor,35309.53,EXPENSE,Lain-lain,Dompet Tunai
2024-01-31,Pizza,25359.78,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-31,Kantin Kampus,18738.98,EXPENSE,Makan & Minum,BCA
2024-01-31,Iuran Kebersihan,105842.74,EXPENSE,Tagihan,Gopay
2024-01-31,Indomaret,189222.74,EXPENSE,Belanja,Gopay
2024-01-31,GoFood,8677.64,EXPENSE,Makan & Minum,BCA
2024-02-01,Bowling,130177.79,EXPENSE,Hiburan,Gopay
2024-02-01,Ongkos Angkot,39071.28,EXPENSE,Lain-lain,Dompet Tunai
2024-02-01,GoFood,28245.77,EXPENSE,Makan & Minum,BCA
2024-02-01,Netflix,56572.54,EXPENSE,Tagihan,Dompet Tunai
2024-02-01,Parkir Motor,36019.75,EXPENSE,Lain-lain,Dompet Tunai
2024-02-02,Iuran Bulanan,71812.92,EXPENSE,Tagihan,Gopay
2024-02-02,Parkir,110551.2,EXPENSE,Tagihan,BCA
2024-02-02,Perlengkapan Kamar,126726.41,EXPENSE,Belanja,Gopay
2024-02-03,Print Tugas,20424.27,EXPENSE,Lain-lain,Gopay
2024-02-03,Karaoke,101311.4,EXPENSE,Hiburan,BCA
2024-02-03,Pizza,32289.31,EXPENSE,Makan & Minum,BCA
2024-02-04,Nasi Padang,41695.76,EXPENSE,Makan & Minum,BCA
2024-02-04,Parkir,85288.17,EXPENSE,Tagihan,BCA
2024-02-04,Buku Kuliah,165884.63,EXPENSE,Belanja,Dompet Tunai
2024-02-04,Bioskop,130167.83,EXPENSE,Hiburan,BCA
2024-02-04,Wifi Bulanan,9521.55,EXPENSE,Tagihan,BCA
2024-02-04,Kantin Kampus,39971.61,EXPENSE,Makan & Minum,Gopay
2024-02-04,ATM,41485.49,EXPENSE,Lain-lain,Dompet Tunai
2024-02-04,Warung Nasi,15107.22,EXPENSE,Makan & Minum,BCA
2024-02-04,Pizza,6421.38,EXPENSE,Makan & Minum,Dompet Tunai
2024-02-05,Es Teh,36276.59,EXPENSE,Makan & Minum,Gopay
2024-02-05,Streaming Film,81319.1,EXPENSE,Hiburan,Gopay
2024-02-05,Indomaret,18760.91,EXPENSE,Belanja,Dompet Tunai
2024-02-05,Freelance,1890501.45,INCOME,Gaji,BCA
2024-02-05,Konser,26423.15,EXPENSE,Hiburan,BCA
2024-02-05,Honor Mengajar,809500.58,INCOME,Gaji,BCA
2024-02-05,Parkir,75853.26,EXPENSE,Tagihan,BCA
2024-02-05,Bubble Tea,44183.75,EXPENSE,Makan & Minum,Gopay
2024-02-05,Tiket Wahana,62437.4,EXPENSE,Hiburan,Gopay
2024-02-05,Pizza,31198.94,EXPENSE,Makan & Minum,BCA
2024-02-05,Transfer Orang Tua,996347.04,INCOME,Gaji,Gopay
2024-02-05,Skincare,11705.76,EXPENSE,Belanja,Gopay
2024-02-06,Print Tugas,37649.91,EXPENSE,Lain-lain,Gopay
2024-02-06,Grab Motor,17619.19,EXPENSE,Lain-lain,BCA
2024-02-06,Skincare,155827.26,EXPENSE,Belanja,BCA
2024-02-06,Skincare,17714.9,EXPENSE,Belanja,Dompet Tunai
2024-02-06,Iuran Kebersihan,52028.39,EXPENSE,Tagihan,Dompet Tunai
2024-02-06,Olahraga,73663.58,EXPENSE,Hiburan,Gopay
2024-02-06,Bakso,10462.32,EXPENSE,Makan & Minum,BCA
2024-02-06,Fotokopi,33565.42,EXPENSE,Lain-lain,Gopay
2024-02-07,Tiket Wahana,17892.57,EXPENSE,Hiburan,Dompet Tunai
2024-02-07,Listrik Kos,93945.2,EXPENSE,Tagihan,Gopay
2024-02-07,KFC,33240.11,EXPENSE,Makan & Minum,Gopay
2024-02-07,Bowling,100994.95,EXPENSE,Hiburan,BCA
2024-02-07,GoFood,10428.61,EXPENSE,Makan & Minum,BCA
2024-02-08,Parkir,8928.92,EXPENSE,Tagihan,Gopay
2024-02-08,Iuran Kebersihan,130498.53,EXPENSE,Tagihan,Dompet Tunai
2024-02-08,Bioskop,126230.78,EXPENSE,Hiburan,Gopay
2024-02-08,Gym,49197.07,EXPENSE,Hiburan,Dompet Tunai
2024-02-08,GoFood,34066.28,EXPENSE,Makan & Minum,Gopay
2024-02-08,Streaming Film,13386.85,EXPENSE,Hiburan,Gopay
2024-02-08,Kopi Kenangan,39693.52,EXPENSE,Makan & Minum,Dompet Tunai
2024-02-08,Dana Darurat,328375.12,INCOME,Goals,BCA
2024-02-08,Donasi,15024.75,EXPENSE,Lain-lain,Dompet Tunai
2024-02-09,Kopi Kenangan,46650.58,EXPENSE,Makan & Minum,Dompet Tunai
2024-02-09,Streaming Film,14358.77,EXPENSE,Hiburan,BCA
2024-02-09,Gojek,10202.6,EXPENSE,Lain-lain,Gopay
2024-02-09,Minimarket,16417.43,EXPENSE,Belanja,Dompet Tunai
2024-02-09,Top Up Game,87539.6,EXPENSE,Hiburan,Gopay
2024-02-09,Print Tugas,19856.87,EXPENSE,Lain-lain,Dompet Tunai
2024-02-09,Top Up OVO,10299.7,EXPENSE,Tagihan,BCA
2024-02-09,Gym,23222.01,EXPENSE,Hiburan,Dompet Tunai
2024-02-09,Kantin Kampus,45823.78,EXPENSE,Makan & Minum,Dompet Tunai
2024-02-09,Parkir,34707.78,EXPENSE,Tagihan,BCA
2024-02-10,Jus Buah,23851.65,EXPENSE,Makan & Minum,Gopay
2024-02-10,Bioskop,125060.41,EXPENSE,Hiburan,BCA
2024-02-10,McDonalds,29940.19,EXPENSE,Makan & Minum,Dompet Tunai
2024-02-10,Donasi,44421.72,EXPENSE,Lain-lain,BCA
2024-02-10,Netflix,128885.84,EXPENSE,Tagihan,Dompet Tunai
2024-02-10,Langganan Spotify,46428.25,EXPENSE,Tagihan,Dompet Tunai
2024-02-10,Donasi,47686.97,EXPENSE,Lain-lain,Dompet Tunai
2024-02-11,Perlengkapan Kamar,38951.32,EXPENSE,Belanja,BCA
2024-02-11,Iuran Bulanan,82289.19,EXPENSE,Tagihan,Gopay
2024-02-11,Buku Kuliah,14158.36,EXPENSE,Belanja,Gopay
2024-02-11,Minimarket,20645.58,EXPENSE,Belanja,Dompet Tunai
2024-02-11,Biaya Admin Bank,8164.39,EXPENSE,Tagihan,BCA
2024-02-11,Uang Saku,508283.18,INCOME,Gaji,BCA
2024-02-11,Skincare,153550.65,EXPENSE,Belanja,Gopay
2024-02-11,Bakso,22467.65,EXPENSE,Makan & Minum,BCA
2024-02-11,Top Up Game,47128.33,EXPENSE,Hiburan,Gopay
2024-02-11,Biaya Admin Bank,110591.37,EXPENSE,Tagihan,Gopay
2024-02-12,Iuran Kebersihan,109710.77,EXPENSE,Tagihan,Dompet Tunai
2024-02-12,Streaming Film,63788.94,EXPENSE,Hiburan,Dompet Tunai
2024-02-12,Gojek,23850.57,EXPENSE,Lain-lain,Dompet Tunai
2024-02-12,Netflix,144515.02,EXPENSE,Tagihan,Gopay
2024-02-12,Pulsa,105767.91,EXPENSE,Tagihan,Dompet Tunai
2024-02-12,Minimarket,52200.78,EXPENSE,Belanja,BCA
2024-02-12,Langganan Spotify,92973.68,EXPENSE,Tagihan,Dompet Tunai
2024-02-13,GrabFood,26306.23,EXPENSE,Makan & Minum,BCA
2024-02-13,Skincare,197270.21,EXPENSE,Belanja,BCA
2024-02-13,Martabak,32565.81,EXPENSE,Makan & Minum,BCA
2024-02-13,Wifi Bulanan,61904.54,EXPENSE,Tagihan,Dompet Tunai
2024-02-13,Olahraga,11517.27,EXPENSE,Hiburan,Dompet Tunai
2024-02-13,Wifi Bulanan,22158.75,EXPENSE,Tagihan,BCA
2024-02-13,Olahraga,132015.15,EXPENSE,Hiburan,Gopay
2024-02-13,Fotokopi,12904.62,EXPENSE,Lain-lain,Dompet Tunai
2024-02-14,Netflix,149150.21,EXPENSE,Tagihan,BCA
2024-02-14,Biaya Admin Bank,38241.45,EXPENSE,Tagihan,Gopay
2024-02-14,GrabFood,32905.97,EXPENSE,Makan & Minum,BCA
2024-02-14,Biaya Admin Bank,129435.67,EXPENSE,Tagihan,Gopay
2024-02-14,Iuran Kebersihan,48639.72,EXPENSE,Tagihan,BCA
2024-02-14,Wifi Bulanan,144633.84,EXPENSE,Tagihan,Gopay
2024-02-14,Gojek,8601.01,EXPENSE,Lain-lain,BCA
2024-02-14,Indomaret,132587.05,EXPENSE,Belanja,Gopay
2024-02-15,Martabak,9938.13,EXPENSE,Makan & Minum,BCA
2024-02-15,Minimarket,105227.95,EXPENSE,Belanja,Dompet Tunai
2024-02-15,Karaoke,85528.78,EXPENSE,Hiburan,Dompet Tunai
2024-02-15,Kantin Kampus,26651.3,EXPENSE,Makan & Minum,Dompet Tunai
2024-02-15,Alfamart Minuman,46143.45,EXPENSE,Makan & Minum,BCA
2024-02-15,ATM,42554.01,EXPENSE,Lain-lain,Gopay
2024-02-15,Parkir,29221.08,EXPENSE,Tagihan,Gopay
2024-02-15,Print Tugas,21398.74,EXPENSE,Lain-lain,Dompet Tunai
2024-02-15,Wifi Bulanan,88705.46,EXPENSE,Tagihan,Dompet Tunai
2024-02-16,Konser,149917.92,EXPENSE,Hiburan,BCA
2024-02-16,Konser,44577.03,EXPENSE,Hiburan,Dompet Tunai
2024-02-16,Tokopedia,55029.74,EXPENSE,Belanja,Dompet Tunai
2024-02-16,Donasi,40150.94,EXPENSE,Lain-lain,BCA
2024-02-16,Kopi Kenangan,22598.67,EXPENSE,Makan & Minum,Gopay
2024-02-16,Tiket Wahana,63324.72,EXPENSE,Hiburan,Dompet Tunai
2024-02-17,Keperluan Lain,27565.63,EXPENSE,Lain-lain,Dompet Tunai
2024-02-17,Alfamart Minuman,45500.84,EXPENSE,Makan & Minum,Dompet Tunai
2024-02-17,Alat Tulis,107279.72,EXPENSE,Belanja,BCA
2024-02-17,Pizza,14145.04,EXPENSE,Makan & Minum,BCA
2024-02-17,Donasi,26282.66,EXPENSE,Lain-lain,Dompet Tunai
2024-02-17,Baju,108281.86,EXPENSE,Belanja,Gopay
2024-02-17,Iuran Bulanan,45495.03,EXPENSE,Tagihan,Dompet Tunai
2024-02-17,Streaming Film,53333.87,EXPENSE,Hiburan,Dompet Tunai
2024-02-17,Buku Kuliah,20486.78,EXPENSE,Belanja,Dompet Tunai
2024-02-17,Pizza,47627.75,EXPENSE,Makan & Minum,Dompet Tunai
2024-02-17,Bowling,75128.79,EXPENSE,Hiburan,Gopay
2024-02-17,Parkir Motor,39744.56,EXPENSE,Lain-lain,BCA
2024-02-18,Shopee,137531.22,EXPENSE,Belanja,Gopay
2024-02-18,Jus Buah,23393.04,EXPENSE,Makan & Minum,Gopay
2024-02-18,Alat Tulis,49980.61,EXPENSE,Belanja,Dompet Tunai
2024-02-18,Bowling,38978.96,EXPENSE,Hiburan,Dompet Tunai
2024-02-18,Freelance,1096783.4,INCOME,Gaji,BCA
2024-02-19,Jus Buah,12230.66,EXPENSE,Makan & Minum,Gopay
2024-02-19,Uang Saku,1740061.04,INCOME,Gaji,BCA
2024-02-19,Iuran Bulanan,50842.64,EXPENSE,Tagihan,Dompet Tunai
2024-02-19,Netflix,66080.97,EXPENSE,Tagihan,BCA
2024-02-20,Konser,106865.33,EXPENSE,Hiburan,Dompet Tunai
2024-02-20,Langganan Spotify,17195.49,EXPENSE,Tagihan,Gopay
2024-02-20,Top Up Game,52784.59,EXPENSE,Hiburan,Gopay
2024-02-20,Parkir,41927.24,EXPENSE,Tagihan,Dompet Tunai
2024-02-20,Iuran Kebersihan,84681.78,EXPENSE,Tagihan,Dompet Tunai
2024-02-21,Olahraga,93558.0,EXPENSE,Hiburan,Dompet Tunai
2024-02-21,Alfamart Minuman,32023.26,EXPENSE,Makan & Minum,Gopay
2024-02-21,Baju,158991.21,EXPENSE,Belanja,Gopay
2024-02-21,Minimarket,81487.59,EXPENSE,Belanja,Gopay
2024-02-21,Netflix,90538.06,EXPENSE,Tagihan,BCA
2024-02-21,Keperluan Lain,32328.19,EXPENSE,Lain-lain,Dompet Tunai
2024-02-21,Buku Kuliah,75100.77,EXPENSE,Belanja,Gopay
2024-02-22,Dana Darurat,408782.91,INCOME,Goals,BCA
2024-02-22,Streaming Film,34326.62,EXPENSE,Hiburan,Gopay
2024-02-22,Top Up OVO,14726.09,EXPENSE,Tagihan,Dompet Tunai
2024-02-22,Indomaret,118341.45,EXPENSE,Belanja,Gopay
2024-02-22,Kopi Kenangan,15942.75,EXPENSE,Makan & Minum,Gopay
2024-02-22,Wifi Bulanan,126640.22,EXPENSE,Tagihan,BCA
2024-02-22,Indomaret Snack,31040.39,EXPENSE,Makan & Minum,Gopay
2024-02-22,Pizza,9350.44,EXPENSE,Makan & Minum,Dompet Tunai
2024-02-22,Iuran Bulanan,142853.57,EXPENSE,Tagihan,Gopay
2024-02-22,Alat Tulis,38909.57,EXPENSE,Belanja,BCA
2024-02-23,Alfamart,173048.2,EXPENSE,Belanja,Dompet Tunai
2024-02-23,Jus Buah,25430.07,EXPENSE,Makan & Minum,BCA
2024-02-23,Parkir,20512.19,EXPENSE,Tagihan,Dompet Tunai
2024-02-23,Wifi Bulanan,6594.4,EXPENSE,Tagihan,BCA
2024-02-23,Keperluan Lain,22225.14,EXPENSE,Lain-lain,Dompet Tunai
